stock_code,transaction_date,window_id,mode_name,phi,beta_ch,beta_q,beta_retail,beta_mix,theta,covariance_diag
000004.SZ,20260709,0,baseline_4d,-1.163627,0,-0.015425,0,-0.015425,0.321421,
000004.SZ,20260709,1,baseline_4d,-1.163743,0,-0.01544,0,-0.01544,0.321581,
000004.SZ,20260709,2,baseline_4d,-1.16376,0,-0.059443,0,-0.059443,0.321742,
000004.SZ,20260709,3,baseline_4d,-1.163776,0,-0.889031,0,-0.889031,0.300025,
000004.SZ,20260709,4,baseline_4d,-1.163792,0,-0.142336,0,-0.142336,0.278309,
000004.SZ,20260709,5,baseline_4d,-1.153223,0,-0.013306,0,-0.013306,0.309523,
000004.SZ,20260709,6,baseline_4d,-1.142653,0,-0.000112,0,-0.000112,0.338266,
000004.SZ,20260709,7,baseline_4d,-1.132083,0,0.007863,0,0.007863,0.367009,
000004.SZ,20260709,8,baseline_4d,-1.121513,0,0.139995,0,0.139995,0.395753,
000004.SZ,20260709,9,baseline_4d,-1.121279,0,-0.008304,0,-0.008304,0.37282,
000004.SZ,20260709,10,baseline_4d,-1.121045,0,-0.163465,0,-0.163465,0.372927,
000004.SZ,20260709,11,baseline_4d,-1.12081,0,0.008042,0,0.008042,0.373035,
000004.SZ,20260709,12,baseline_4d,-1.12081,0,-0.018866,0,-0.018866,0.371971,
000004.SZ,20260709,13,baseline_4d,-1.12081,0,-0.005285,0,-0.005285,0.371971,
000004.SZ,20260709,14,baseline_4d,-1.12081,0,-0.00271,0,-0.00271,0.371971,
000004.SZ,20260709,15,baseline_4d,-1.12081,0,-0.001734,0,-0.001734,0.371971,
000004.SZ,20260709,16,baseline_4d,-1.12081,0,-0.00084,0,-0.00084,0.371971,
000004.SZ,20260709,17,baseline_4d,-1.12081,0,-0.000493,0,-0.000493,0.371971,
000004.SZ,20260709,18,baseline_4d,-1.12081,0,-0.00009,0,-0.00009,0.371971,
000004.SZ,20260709,19,baseline_4d,-1.12081,0,-0.000067,0,-0.000067,0.371971,
000004.SZ,20260709,20,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,21,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,22,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,23,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,24,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,25,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,26,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,27,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,28,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,29,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,30,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,31,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,32,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,33,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,34,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,35,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,36,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,37,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,38,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,39,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,40,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,41,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,42,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,43,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,44,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,45,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,46,baseline_4d,-1.12081,0,0,0,0,0.371971,
000004.SZ,20260709,47,baseline_4d,-1.12081,0,0,0,0,0.371971,
