trade_date,symbol,window_id,window_start,window_end,open_price,close_price,vwap,deal_amount,data_P,data_P_source
20260709,000004.SZ,0,09:30,09:35,0.4,0.39,,129014.39,-0.025,trade_window
20260709,000004.SZ,1,09:35,09:40,0.39,0.39,,42276,0,trade_window
20260709,000004.SZ,2,09:40,09:45,0.39,0.39,,4173,0,trade_window
20260709,000004.SZ,3,09:45,09:50,0.39,0.42,,561419,0.076923,trade_window
20260709,000004.SZ,4,09:50,09:55,0.42,0.42,,143556,0,trade_window
20260709,000004.SZ,5,09:55,10:00,0.42,0.42,,89880,0,trade_window
20260709,000004.SZ,6,10:00,10:05,0.42,0.42,,490723.8,0,trade_window
20260709,000004.SZ,7,10:05,10:10,0.42,0.41,,7737.2,-0.02381,trade_window
20260709,000004.SZ,8,10:10,10:15,0.41,0.41,,5574.22,0,trade_window
20260709,000004.SZ,9,10:15,10:20,0.41,0.41,,10250,0,trade_window
20260709,000004.SZ,10,10:20,10:25,0.42,0.42,,193213.02,0.02439,trade_window
20260709,000004.SZ,11,10:25,10:30,0.42,0.42,,36918,0,trade_window
20260709,000004.SZ,12,10:30,10:35,0.42,0.42,,5208,0,trade_window
20260709,000004.SZ,13,10:35,10:40,0.42,0.42,,11592,0,trade_window
20260709,000004.SZ,14,10:40,10:45,0.42,0.42,,5712,0,trade_window
20260709,000004.SZ,15,10:45,10:50,0.42,0.42,,9618,0,trade_window
20260709,000004.SZ,16,10:50,10:55,0.42,0.42,,1890,0,trade_window
20260709,000004.SZ,17,10:55,11:00,0.42,0.42,,24654,0,trade_window
20260709,000004.SZ,18,11:00,11:05,0.42,0.42,,9534,0,trade_window
20260709,000004.SZ,19,11:05,11:10,0.42,0.42,,74256,0,trade_window
20260709,000004.SZ,20,11:10,11:15,0.42,0.42,,11004,0,trade_window
20260709,000004.SZ,21,11:15,11:20,0.42,0.42,,5796,0,trade_window
20260709,000004.SZ,22,11:20,11:25,0.42,0.42,,25956,0,trade_window
20260709,000004.SZ,23,11:25,11:30,0.42,0.42,,294,0,trade_window
20260709,000004.SZ,24,13:00,13:05,0.42,0.42,,7908.6,0,trade_window
20260709,000004.SZ,25,13:05,13:10,0.42,0.42,,8400,0,trade_window
20260709,000004.SZ,26,13:10,13:15,0.42,0.42,,24738,0,trade_window
20260709,000004.SZ,27,13:15,13:20,0.42,0.42,,53424,0,trade_window
20260709,000004.SZ,28,13:20,13:25,0.42,0.42,,12096,0,trade_window
20260709,000004.SZ,29,13:25,13:30,0.42,0.42,,2520,0,trade_window
20260709,000004.SZ,30,13:30,13:35,0.42,0.42,,9702,0,trade_window
20260709,000004.SZ,31,13:35,13:40,0.42,0.42,,12684,0,trade_window
20260709,000004.SZ,32,13:40,13:45,0.42,0.42,,3906,0,trade_window
20260709,000004.SZ,33,13:45,13:50,0.42,0.42,,13524,0,trade_window
20260709,000004.SZ,34,13:50,13:55,0.42,0.42,,4620,0,trade_window
20260709,000004.SZ,35,13:55,14:00,0.42,0.42,,1764,0,trade_window
20260709,000004.SZ,36,14:00,14:05,0.42,0.42,,4368,0,trade_window
20260709,000004.SZ,37,14:05,14:10,0.42,0.42,,43680,0,trade_window
20260709,000004.SZ,38,14:10,14:15,0.42,0.42,,126,0,trade_window
20260709,000004.SZ,39,14:15,14:20,0.42,0.42,,798,0,trade_window
20260709,000004.SZ,40,14:20,14:25,0.42,0.42,,18606,0,trade_window
20260709,000004.SZ,41,14:25,14:30,0.42,0.42,,60060,0,trade_window
20260709,000004.SZ,42,14:30,14:35,0.42,0.42,,12222,0,trade_window
20260709,000004.SZ,43,14:35,14:40,0.42,0.42,,6930,0,trade_window
20260709,000004.SZ,44,14:40,14:45,0.42,0.42,,210,0,trade_window
20260709,000004.SZ,45,14:45,14:50,0.42,0.42,,1260,0,trade_window
20260709,000004.SZ,46,14:50,14:55,0.42,0.42,,4242,0,trade_window
20260709,000004.SZ,47,14:55,15:00,0.42,0.42,,1428,0,trade_window
