stock_code,transaction_date,pattern_type,pattern_explanation
000066.SZ,20260507,大单吸筹,资金大笔挂单买入，短时间内集中扫货
000417.SZ,20260518,尾盘突袭,在下午2点半之后集中拉升，制造假象和典型技术形态
001259.SZ,20260520,日内套利,资金在一定价格区间来回高抛低吸
001896.SZ,20260521,对倒拉升,通过自买自卖制造成交量放大假象，吸引跟风盘
002008.SZ,20260421,压单吸货,在卖盘挂大单压制股价，同时在低位悄悄吸纳筹码
002081.SZ,20260423,集合竞价异动,在集合竞价阶段大幅拉高或压低，影响开盘价
002281.SZ,20260513,分时脉冲,短时间内快速拉升后迅速回落，试探上方抛压
002371.SZ,20260520,大单吸筹,盘中持续出现大额买单，逐步抬高股价重心
002498.SZ,20260512,连续小单推升,用大量小单持续买入缓慢推高股价，避免引起注意
002552.SZ,20260518,尾盘突袭,尾盘最后15分钟突然放量砸盘，制造恐慌情绪
300069.SZ,20260521,盘中诱多,盘中快速拉升吸引跟风后迅速砸盘出货
300276.SZ,20260515,日内套利,利用日内波动在支撑位和压力位之间反复做差价
300488.SZ,20260508,涨停板打开,封涨停后反复打开，制造换手假象引诱散户接盘
300582.SZ,20260430,对倒拉升,关联账户之间互相成交，人为放大成交量配合拉升
300616.SZ,20260511,压单吸货,在买一至买五挂大量撤单，压低价格后低位扫货
300632.SZ,20260430,集合竞价异动,集合竞价大幅高开后迅速回落，诱导散户高位接盘
300657.SZ,20260518,分时脉冲,盘中多次出现快速拉升又快速回落的脉冲走势
300657.SZ,20260519,连续小单推升,以小单为主持续买入，隐蔽建仓不引起市场关注
300658.SZ,20260519,尾盘突袭,临近收盘大单拉升，制造强势收盘的技术形态
300663.SZ,20260506,盘中诱多,早盘急速拉高后高位横盘，午后突然跳水出货
